utterance_id,valence,arousal,dominance,valence_norm,arousal_norm,dominance_norm,text
Ses01F_impro05_M017,4,3,3,0.75,0.5,0.5,"I feel cheerful and interested right now , moderate to handle this situation ."
Ses01F_impro05_M018,3,2,3,0.5,0.25,0.5,"I 'm hunky-dory about what happened , unagitated by the events , and touch sensation normal ."
Ses01F_impro05_M019,4,4,3,0.75,0.75,0.5,"How delighted and aroused this is , make me feel capable ."
Ses01F_impro05_M020,4,4,3,0.75,0.75,0.5,This glad event has me feeling aroused and fair.
Ses01F_impro05_M021,4,3,2,0.75,0.5,0.25,"How quenched and aware this is , making me feel weak ."
Ses01F_impro05_M022,4,4,3,0.75,0.75,0.5,"The situation makes me cheerful, alert, and competent."
Ses01F_impro05_M023,4,2,2,0.75,0.25,0.25,"I'm experiencing a cheerful emotion, feeling placid and weak."
Ses01F_impro05_M024,4,3,2,0.75,0.5,0.25,"I'm experiencing a content emotion, feeling involved and uncertain."
Ses01F_impro05_M025,4,3,2,0.75,0.5,0.25,"I can't believe how cheerful this is, I'm mindful and dependent."
Ses01F_impro05_M026,4,3,3,0.75,0.5,0.5,"The situation makes me glad, focused, and normal."
Ses01F_impro05_M027,4,3,2,0.75,0.5,0.25,"This is delighted news , stool me feel mindful and uncertain ."
Ses01F_impro05_M028,4,3,2,0.75,0.5,0.25,"I 'm experiencing a elated emotion , palpate cognizant and incapacitated ."
Ses01F_impro05_M029,4,3,3,0.75,0.5,0.5,"What a delight day , I finger involved and equal to ."
Ses01F_impro05_M030,3,3,2,0.5,0.5,0.25,"I'm average about what happened, focused by the events, and feeling powerless."
Ses01F_impro05_M031,3,3,3,0.5,0.5,0.5,Why do I feel so fine and mindful about this?
Ses01F_impro05_M032,3,3,3,0.5,0.5,0.5,"The situation makes me reasonable, conscious, and fair."
Ses01F_impro05_M033,4,3,3,0.75,0.5,0.5,This satisfied event has me feeling mindful and sufficient.
Ses01F_impro05_M034,4,4,3,0.75,0.75,0.5,That's excited! I'm active and sufficient about it.
Ses01F_impro05_M035,4,4,2,0.75,0.75,0.25,"What a satisfied day, I feel alert and vulnerable."
Ses01F_impro04_F000,3,2,3,0.5,0.25,0.5,Do you feel fair and relaxed about this too?
Ses01F_impro04_F001,4,3,3,0.75,0.5,0.5,How can something so thrilled make me feel this aware and decent ?
Ses01F_impro04_F002,4,2,3,0.75,0.25,0.5,"The situation makes me happy , calm , and reasonable ."
Ses01F_impro04_F003,4,2,3,0.75,0.25,0.5,"How glad and quiet this is, making me feel adequate."
Ses01F_impro04_F004,4,3,2,0.75,0.5,0.25,"I can't believe how satisfied this is, I'm attentive and inferior."
Ses01F_impro04_F005,3,4,3,0.5,0.75,0.5,"This is fair word , devising me feel active and moderate ."
Ses01F_impro04_F006,3,2,3,0.5,0.25,0.5,"I feel OK and still right now , reasonable to handle this situation ."
Ses01F_impro04_F007,3,2,4,0.5,0.25,0.75,"This is acceptable tidings , stool me feel peaceful and commanding ."
Ses01F_impro04_F008,4,2,4,0.75,0.25,0.75,"This is glad news, making me feel peaceful and powerful."
Ses01F_impro04_F009,4,3,3,0.75,0.5,0.5,That's satisfied! I'm focused and competent about it.
Ses01F_impro04_F010,4,2,3,0.75,0.25,0.5,"I feel cheerful and still right now, adequate to handle this situation."
Ses01F_impro04_F011,4,2,3,0.75,0.25,0.5,This shudder event has me feeling sleepy and standard .
Ses01F_impro04_F012,4,3,4,0.75,0.5,0.75,"The situation makes me happy, aware, and dominant."
Ses01F_impro04_F013,3,2,4,0.5,0.25,0.75,How can something so fair make me feel this peaceful and powerful?
Ses01F_impro04_F014,4,2,3,0.75,0.25,0.5,This beatify event has me tactile sensation quiet and fair .
Ses01F_impro04_F015,4,2,4,0.75,0.25,0.75,"I can't believe how delighted this is, I'm calm and bold."
Ses01F_impro04_F016,4,2,4,0.75,0.25,0.75,Can you consider how content and drowsy this is ?
Ses01F_impro04_F017,4,1,4,0.75,0.0,0.75,"How happy and still this is, making me feel influential."
Ses01F_impro04_F018,4,1,3,0.75,0.0,0.5,That's thrilled! I'm calm and reasonable about it.
Ses01F_impro04_F019,3,2,3,0.5,0.25,0.5,"I feel moderate and slacken right now , fairish to handle this situation ."
Ses01F_impro04_F020,5,3,4,1.0,0.5,0.75,"How happy and interested this is, making me feel dominant."
Ses01F_impro04_F021,5,4,4,1.0,0.75,0.75,"This is please news , making me feel alert and assertive ."
Ses01F_impro04_F022,4,4,3,0.75,0.75,0.5,How can something so happy make me feel this hyper and balanced?
Ses01F_impro04_F023,5,3,4,1.0,0.5,0.75,"I can't believe how thrilled this is, I'm mindful and dominant."
Ses01F_impro04_F024,4,3,4,0.75,0.5,0.75,"How pleased and present this is, making me feel confident."
Ses01F_impro04_F025,4,3,4,0.75,0.5,0.75,"I feel joyful and conscious rectify now , powerful to handle this situation ."
Ses01F_impro04_F026,4,4,4,0.75,0.75,0.75,"I'm delighted about what happened, hyper by the events, and feeling strong."
Ses01F_impro04_F027,4,4,4,0.75,0.75,0.75,"This is delighted news , make me sense gumptious and controlling ."
Ses01F_impro04_F028,4,2,4,0.75,0.25,0.75,"I ca n't believe how please this is , I 'm loosen up and powerful ."
Ses01F_impro04_F029,5,1,4,1.0,0.0,0.75,"What a happy day, I feel relaxed and powerful."
Ses01F_impro04_F030,5,2,4,1.0,0.25,0.75,"I'm experiencing a cheerful emotion, feeling tranquil and influential."
Ses01F_impro04_F031,5,3,4,1.0,0.5,0.75,This thrilled event has me feeling engaged and strong.
Ses01F_impro04_F032,4,2,4,0.75,0.25,0.75,"How enthralled and calm this is , making me flavour rife ."
Ses01F_impro04_F033,5,2,5,1.0,0.25,1.0,"I feel cheerful and sleepy right now, strong to handle this situation."
Ses01F_impro04_M000,3,3,3,0.5,0.5,0.5,That 's decent ! I 'm conscious and adequate to about it .
Ses01F_impro04_M001,3,3,3,0.5,0.5,0.5,"How standard and mindful this is , making me feel capable ."
Ses01F_impro04_M002,3,3,3,0.5,0.5,0.5,"I 'm experiencing a standard emotion , sense engaged and competent ."
Ses01F_impro04_M003,3,3,3,0.5,0.5,0.5,"I 'm experiencing a acceptable emotion , feeling present and normal ."
Ses01F_impro04_M004,3,3,3,0.5,0.5,0.5,"I 'm fair about what happened , focussed by the effect , and touch adequate ."
Ses01F_impro04_M005,3,3,3,0.5,0.5,0.5,"How okay and engaged this is, making me feel normal."
Ses01F_impro04_M006,3,2,3,0.5,0.25,0.5,This okay event has me feel dozy and competent .
Ses01F_impro04_M007,3,2,3,0.5,0.25,0.5,Do you feel reasonable and serene about this too?
Ses01F_impro04_M008,3,3,3,0.5,0.5,0.5,"I 'm experiencing a acceptable emotion , feeling focused and balanced ."
Ses01F_impro04_M009,3,3,3,0.5,0.5,0.5,"I ca n't think how neutral this is , I 'm paying attention and fairish ."
Ses01F_impro04_M010,3,3,3,0.5,0.5,0.5,Is n't it standard how awake and moderate this situation is ?
Ses01F_impro04_M011,3,2,3,0.5,0.25,0.5,"What a decent day, I feel drowsy and standard."
Ses01F_impro04_M012,3,2,3,0.5,0.25,0.5,"I feel standard and sleepy right hand now , enough to handle this situation ."
Ses01F_impro04_M013,3,4,3,0.5,0.75,0.5,"The situation makes me decent, frenzied, and sufficient."
Ses01F_impro04_M014,2,2,3,0.25,0.25,0.5,Why do I feel so miserable and serene about this?
Ses01F_impro04_M015,4,2,3,0.75,0.25,0.5,"I 'm glad about what materialize , dozy by the events , and feeling sufficient ."
Ses01F_impro04_M016,3,3,3,0.5,0.5,0.5,Do you feel fairish and aware roughly this too ?
Ses01F_impro04_M017,3,2,3,0.5,0.25,0.5,"I finger criterion and quiet right now , moderate to handle this situation ."
Ses01F_impro04_M018,3,2,3,0.5,0.25,0.5,"How reasonable and relaxed this is , making me flavour fair ."
Ses01F_impro04_M019,3,3,3,0.5,0.5,0.5,"I'm average about what happened, awake by the events, and feeling fair."
Ses01F_impro04_M020,3,3,3,0.5,0.5,0.5,This neutral event has me feeling attentive and standard.
Ses01F_impro04_M021,3,2,3,0.5,0.25,0.5,"What a reasonable day, I feel peaceful and competent."
Ses01F_impro04_M022,3,3,3,0.5,0.5,0.5,"I ca n't believe how average this is , I 'm thoughtful and adequate ."
Ses01F_impro04_M023,4,3,2,0.75,0.5,0.25,"I feel excited and awake right now , powerless to handle this place ."
Ses01F_impro04_M024,3,3,4,0.5,0.5,0.75,"I 'm experiencing a average emotion , belief attentive and verify ."
Ses01F_impro04_M025,3,2,4,0.5,0.25,0.75,"The situation makes me standard, peaceful, and assertive."
Ses01F_impro04_M026,2,2,3,0.25,0.25,0.5,"How gloomy and peaceful this is , making me feel soften ."
Ses01F_impro04_M027,2,2,4,0.25,0.25,0.75,"How miserable and sleepy this is, making me feel dominant."
Ses01F_impro04_M028,3,3,2,0.5,0.5,0.25,"I feel okay and present right now, intimidated to handle this situation."
Ses01F_impro04_M029,4,2,4,0.75,0.25,0.75,"I'm happy about what happened, placid by the events, and feeling bold."
Ses01F_impro04_M030,4,3,3,0.75,0.5,0.5,"The situation makes me pleased, awake, and balanced."
Ses01F_impro04_M031,3,4,3,0.5,0.75,0.5,Do you find fair and alert about this too ?
Ses01F_impro04_M032,4,4,2,0.75,0.75,0.25,"This is joyful news, making me feel intense and dependent."
Ses01F_impro04_M033,4,2,3,0.75,0.25,0.5,Do you feel thrilled and calm about this too ?
Ses01F_impro04_M034,4,4,3,0.75,0.75,0.5,"I'm thrilled about what happened, excited by the events, and feeling sufficient."
Ses01F_impro04_M035,4,2,3,0.75,0.25,0.5,"I 'm delighted about what bump , tranquil by the events , and impression convention ."
Ses01F_impro04_M036,4,3,4,0.75,0.5,0.75,"I feel happy and lay out mighty now , convinced to do by this billet ."
Ses01F_script01_3_F000,2,4,4,0.25,0.75,0.75,"I ca n't believe how dysphoric this is , I 'm hyper and influential ."
Ses01F_script01_3_F001,2,4,3,0.25,0.75,0.5,"I'm experiencing a sorrowful emotion, feeling intense and competent."
Ses01F_script01_3_F002,3,4,3,0.5,0.75,0.5,Do you feel moderate and agitated about this too?
Ses01F_script01_3_F003,3,4,2,0.5,0.75,0.25,"This is seemly news , making me palpate aroused and insecure ."
Ses01F_script01_3_F004,2,3,3,0.25,0.5,0.5,"I'm experiencing a sad emotion, feeling awake and fair."
Ses01F_script01_3_F005,3,4,2,0.5,0.75,0.25,"I'm decent about what happened, aroused by the events, and feeling submissive."
Ses01F_script01_3_F006,3,4,2,0.5,0.75,0.25,That 's impersonal ! I 'm shake and powerless close to it .
Ses01F_script01_3_F007,4,4,2,0.75,0.75,0.25,"I'm experiencing a satisfied emotion, feeling stimulated and dependent."
Ses01F_script01_3_F008,2,3,3,0.25,0.5,0.5,"The situation makes me depressed, conscious, and moderate."
Ses01F_script01_3_F009,2,3,3,0.25,0.5,0.5,"I ca n't think how defeated this is , I 'm concerned and sufficient ."
Ses01F_script01_3_F010,2,2,3,0.25,0.25,0.5,Why do I feel so down and calm about this?
Ses01F_script01_3_F011,2,2,3,0.25,0.25,0.5,"The situation makes me upset, still, and normal."
Ses01F_script01_3_F012,1,1,2,0.0,0.0,0.25,"This is depressed news, making me feel placid and uncertain."
Ses01F_script01_3_F013,2,2,3,0.25,0.25,0.5,"How disappointed and quiet this is, making me feel moderate."
Ses01F_script01_3_F014,3,3,3,0.5,0.5,0.5,"What a standard day, I feel awake and sufficient."
Ses01F_script01_3_F015,3,4,3,0.5,0.75,0.5,"I feel fair and aroused right-hand now , balanced to deal this place ."
Ses01F_script01_3_F016,4,4,2,0.75,0.75,0.25,"How meet and stimulated this is , making me feel unsealed ."
Ses01F_script01_3_F017,2,3,3,0.25,0.5,0.5,"What a grim day , I feel occupy and adequate ."
Ses01F_script01_3_F018,1,1,5,0.0,0.0,1.0,How can something so miserable make me feel this relaxed and bold?
Ses01F_script01_3_F019,2,2,2,0.25,0.25,0.25,How can something so upset make me find this sleepy and vulnerable ?
Ses01F_script01_3_F020,1,2,4,0.0,0.25,0.75,Is n't it upset how passive and bold this situation is ?
Ses01F_script01_3_F021,2,3,3,0.25,0.5,0.5,"I feel sad and awake right now, moderate to handle this situation."
Ses01F_script01_3_F022,2,4,3,0.25,0.75,0.5,"This is sad news, making me feel hyper and balanced."
Ses01F_script01_3_F023,4,4,3,0.75,0.75,0.5,"The situation makes me joyful , aroused , and standard ."
Ses01F_script01_3_F024,4,4,4,0.75,0.75,0.75,Can you conceive how content and active this is ?
Ses01F_script01_3_F025,3,4,3,0.5,0.75,0.5,This standard event has me feeling agitated and moderate.
Ses01F_script01_3_F026,3,4,3,0.5,0.75,0.5,That's moderate! I'm agitated and standard about it.
Ses01F_script01_3_F027,4,4,2,0.75,0.75,0.25,"I'm cheerful about what happened, hyper by the events, and feeling submissive."
Ses01F_script01_3_F028,4,4,2,0.75,0.75,0.25,This pleased event has me feeling hyper and helpless.
Ses01F_script01_3_F029,4,4,2,0.75,0.75,0.25,"I 'm delighted about what happened , hyper by the events , and feeling dependent ."
Ses01F_script01_3_F030,4,4,1,0.75,0.75,0.0,"This is joyful news, making me feel excited and insecure."
Ses01F_script01_3_F031,4,5,1,0.75,1.0,0.0,"I feel satisfied and hyper right now, uncertain to handle this situation."
Ses01F_script01_3_F032,3,4,2,0.5,0.75,0.25,"What a average day , I feel alert and powerless ."
Ses01F_script01_3_F033,4,3,4,0.75,0.5,0.75,"The position makes me cheerful , wake up , and influential ."
Ses01F_script01_3_F034,3,3,4,0.5,0.5,0.75,"How fair and focused this is, making me feel dominant."
Ses01F_script01_3_F035,2,4,3,0.25,0.75,0.5,That's upset! I'm excited and normal about it.
Ses01F_script01_3_M000,2,4,2,0.25,0.75,0.25,This miserable event has me feeling hyper and insecure.
Ses01F_script01_3_M001,3,3,3,0.5,0.5,0.5,"The situation makes me neutral , aware , and capable ."
Ses01F_script01_3_M002,4,4,3,0.75,0.75,0.5,"I 'm content about what happened , alert by the events , and feeling sufficient ."
Ses01F_script01_3_M003,2,3,2,0.25,0.5,0.25,"The situation makes me sad, awake, and powerless."
Ses01F_script01_3_M004,3,2,2,0.5,0.25,0.25,"I can't believe how acceptable this is, I'm relaxed and weak."
Ses01F_script01_3_M005,2,3,3,0.25,0.5,0.5,Isn't it gloomy how interested and sufficient this situation is?
Ses01F_script01_3_M006,2,4,2,0.25,0.75,0.25,"I'm upset about what happened, excited by the events, and feeling uncertain."
Ses01F_script01_3_M007,3,3,3,0.5,0.5,0.5,"I 'm moderate about what befall , enlist by the events , and feeling fair ."
Ses01F_script01_3_M008,2,2,3,0.25,0.25,0.5,That 's sorrowful ! I 'm calm and received about it .
Ses01F_script01_3_M009,1,1,3,0.0,0.0,0.5,That's depressed! I'm serene and competent about it.
Ses01F_script01_3_M010,1,1,4,0.0,0.0,0.75,That's down! I'm tranquil and dominant about it.
Ses01F_script01_3_M011,3,2,3,0.5,0.25,0.5,"I sense fair and placid right now , capable to handle this berth ."
Ses01F_script01_3_M012,3,3,4,0.5,0.5,0.75,This reasonable event has me feeling involved and authoritative.
Ses01F_script01_3_M013,4,3,2,0.75,0.5,0.25,"How joyful and engaged this is, making me feel weak."
Ses01F_script01_3_M014,2,3,3,0.25,0.5,0.5,"How paltry and mindful this is , making me feel adequate to ."
Ses01F_script01_3_M015,2,2,4,0.25,0.25,0.75,That 's upset ! I 'm quiet and bold about it .
Ses01F_script01_3_M016,2,2,2,0.25,0.25,0.25,"I can't believe how disappointed this is, I'm serene and powerless."
Ses01F_script01_3_M017,2,3,3,0.25,0.5,0.5,"This is down news, making me feel involved and competent."
Ses01F_script01_3_M018,1,1,4,0.0,0.0,0.75,Can you believe how miserable and relaxed this is ?
Ses01F_script01_3_M019,2,3,4,0.25,0.5,0.75,That's gloomy! I'm focused and assertive about it.
Ses01F_script01_3_M020,2,2,3,0.25,0.25,0.5,"The situation makes me down, tranquil, and reasonable."
Ses01F_script01_3_M021,4,3,3,0.75,0.5,0.5,"I feel happy and attentive properly now , sufficient to handle this position ."
Ses01F_script01_3_M022,3,4,2,0.5,0.75,0.25,"The billet makes me fair , acute , and submissive ."
Ses01F_script01_3_M023,4,3,3,0.75,0.5,0.5,Can you think how thrill and awake this is ?
Ses01F_script01_3_M024,3,3,3,0.5,0.5,0.5,That 's moderate ! I 'm interested and balanced about it .
Ses01F_script01_3_M025,3,3,3,0.5,0.5,0.5,"I feel moderate and thoughtful right on now , competent to handle this situation ."
Ses01F_script01_3_M026,4,4,3,0.75,0.75,0.5,"This is thrilled news, making me feel frenzied and fair."
Ses01F_script01_3_M027,3,4,3,0.5,0.75,0.5,"I feel reasonable and excited right now , balanced to manage this office ."
Ses01F_script01_3_M028,4,3,4,0.75,0.5,0.75,"This is glad news, making me feel aware and strong."
Ses01F_script01_3_M029,3,3,4,0.5,0.5,0.75,This fine event has me feeling engaged and influential.
Ses01F_script01_3_M030,4,3,4,0.75,0.5,0.75,"I'm cheerful about what happened, awake by the events, and feeling assertive."
Ses01F_script01_3_M031,4,3,5,0.75,0.5,1.0,This glad event has me feeling present and herculean .
Ses01F_script01_3_M032,4,2,5,0.75,0.25,1.0,"I ca n't conceive how enthralled this is , I 'm placid and powerful ."
